Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Wed,2022-05-18,19:30 (22:30),San Jose,2.1,3–2,0.8,Portland Timbers,11788,Avaya Stadium,Lukasz Szpala,Match Report,
Wed,2022-05-18,19:30 (20:30),Sporting KC,0.5,2–1,1.0,Colorado Rapids,17233,Children's Mercy Park,Drew Fischer,Match Report,
Wed,2022-05-18,19:30 (20:30),Nashville,0.8,2–1,0.7,CF Montréal,26003,Geodis Park,Jon Freemon,Match Report,
Sat,2022-05-21,15:30,Columbus Crew,0.9,0–2,1.8,Los Angeles FC,19649,Lower.com Field,Victor Rivas,Match Report,
Sat,2022-05-21,18:00,FC Cincinnati,0.7,2–3,0.8,New England,22844,West End Stadium,Silviu Petrescu,Match Report,
Sat,2022-05-21,18:30,D.C. United,2.8,2–2,1.6,Toronto FC,18320,Audi Field,Ismir Pekmic,Match Report,
Sat,2022-05-21,18:30 (19:30),Nashville,2.0,2–2,1.9,Atlanta Utd,30109,Geodis Park,Ted Unkel,Match Report,
Sun,2022-05-22,16:00,CF Montréal,1.0,1–2,1.8,Real Salt Lake,14205,Saputo Stadium,Ramy Touchan,Match Report,
Sun,2022-05-22,16:30 (19:30),San Jose,1.0,1–1,1.0,Sporting KC,14233,Avaya Stadium,Pierre-Luc Lauziere,Match Report,
Sun,2022-05-22,17:00,NYCFC,2.1,1–0,0.8,Chicago Fire,18823,Yankee Stadium,Fotis Bazakos,Match Report,
Sun,2022-05-22,17:00,Charlotte,1.9,2–1,0.9,Vancouver,32034,Bank of America Stadium,Nima Saghafi,Match Report,
Sun,2022-05-22,18:00,Inter Miami,2.2,2–0,1.4,NY Red Bulls,11007,Lockhart Stadium,Jon Freemon,Match Report,
Sun,2022-05-22,18:00 (19:00),FC Dallas,1.3,1–2,0.7,Minnesota Utd,15280,Toyota Stadium,Lukasz Szpala,Match Report,
Sun,2022-05-22,17:00 (20:00),LA Galaxy,1.3,0–3,2.4,Houston Dynamo,22471,Dignity Health Sports Park,Marcos de Oliveira,Match Report,
Sun,2022-05-22,18:00 (20:00),Colorado Rapids,1.7,1–0,0.5,Seattle,14923,Dick's Sporting Goods Park,Tim Ford,Match Report,
Sun,2022-05-22,19:00 (22:00),Portland Timbers,0.7,0–2,1.1,Philadelphia,22288,Providence Park,Allen Chapman,Match Report,
Sun,2022-05-22,19:00 (20:00),Austin,3.5,2–2,1.9,Orlando City,20738,Q2 Stadium,Joe Dickerson,Match Report,
Sat,2022-05-28,15:00 (18:00),Los Angeles FC,2.0,3–2,1.8,San Jose,22007,Banc of California Stadium,Ismail Elfath,Match Report,
Sat,2022-05-28,19:00,Toronto FC,1.0,3–2,2.6,Chicago Fire,25906,BMO Field,Guido Gonzalez Jr.,Match Report,
Sat,2022-05-28,19:00,Atlanta Utd,1.8,1–2,0.7,Columbus Crew,42504,Mercedes-Benz Stadium,Joe Dickerson,Match Report,
Sat,2022-05-28,19:00,NY Red Bulls,1.0,4–1,0.7,D.C. United,13678,Red Bull Arena,Allen Chapman,Match Report,
Sat,2022-05-28,19:30,Orlando City,1.2,1–3,1.1,FC Dallas,17380,Exploria Stadium,Marcos de Oliveira,Match Report,
Sat,2022-05-28,19:30,CF Montréal,2.8,4–3,1.3,FC Cincinnati,14225,Saputo Stadium,Fotis Bazakos,Match Report,
Sat,2022-05-28,19:30,New England,2.8,1–1,0.8,Philadelphia,20398,Gillette Stadium,Jon Freemon,Match Report,
Sun,2022-05-29,15:00 (18:00),LA Galaxy,3.2,4–1,0.9,Austin,20433,Dignity Health Sports Park,Rubiel Vazquez,Match Report,
Sat,2022-05-28,19:00 (20:00),Minnesota Utd,1.1,0–1,1.0,NYCFC,19695,Allianz Field,Michael Radchuk,Match Report,
Sat,2022-05-28,19:00 (21:00),Colorado Rapids,0.6,1–3,1.7,Nashville,15465,Dick's Sporting Goods Park,Nima Saghafi,Match Report,
Sat,2022-05-28,19:30 (21:30),Real Salt Lake,2.4,3–0,1.1,Houston Dynamo,20489,America First Field,Armando Villarreal,Match Report,
Sat,2022-05-28,20:00 (21:00),Sporting KC,1.1,0–1,1.4,Vancouver,19206,Children's Mercy Park,Ted Unkel,Match Report,
Sat,2022-05-28,20:00,Inter Miami,1.3,2–1,1.1,Portland Timbers,11161,Lockhart Stadium,Chris Penso,Match Report,
Sun,2022-05-29,18:30 (21:30),Seattle,1.9,2–1,1.4,Charlotte,32763,Lumen Field,Rosendo Mendoza,Match Report,
Sat,2022-06-04,16:00 (19:00),Vancouver,1.5,2–1,1.0,Real Salt Lake,17134,BC Place,Jon Freemon,Match Report,
